iPhone 15 128GB,12,5,GROUP_EURONICS,Smartphone
iPhone 15 Pro 256GB,19,8,GROUP_EURONICS,Smartphone
Samsung Galaxy S24,26,2,GROUP_EURONICS,Smartphone
Samsung Galaxy A55,33,5,GROUP_EURONICS,Smartphone
Xiaomi Redmi Note 13,40,8,GROUP_EURONICS,Smartphone
Motorola Edge 50,47,2,GROUP_EURONICS,Smartphone
Google Pixel 8,8,5,GROUP_EURONICS,Smartphone
Honor 90,15,8,GROUP_EURONICS,Smartphone
Oppo Reno 11,22,2,GROUP_EURONICS,Smartphone
Realme 12 Pro,29,5,GROUP_EURONICS,Smartphone
Nokia G42,36,8,GROUP_EURONICS,Smartphone
Cover universale smartphone,43,2,GROUP_EURONICS,Smartphone
iPad 10th Gen,50,5,GROUP_EURONICS,Tablet
iPad Air 11,11,8,GROUP_EURONICS,Tablet
Samsung Galaxy Tab S9,18,2,GROUP_EURONICS,Tablet
Samsung Galaxy Tab A9,25,5,GROUP_EURONICS,Tablet
Lenovo Tab M11,32,8,GROUP_EURONICS,Tablet
Xiaomi Pad 6,39,2,GROUP_EURONICS,Tablet
Microsoft Surface Go,46,5,GROUP_EURONICS,Tablet
Huawei MatePad 11,7,8,GROUP_EURONICS,Tablet
TCL Tab 10,14,2,GROUP_EURONICS,Tablet
Kindle Fire HD,21,5,GROUP_EURONICS,Tablet
Custodia tablet 10,28,8,GROUP_EURONICS,Tablet
Penna touch universale,35,2,GROUP_EURONICS,Tablet
HP Pavilion 15,42,5,GROUP_EURONICS,Notebook
Lenovo IdeaPad 5,49,8,GROUP_EURONICS,Notebook
Asus VivoBook 16,10,2,GROUP_EURONICS,Notebook
Acer Aspire 5,17,5,GROUP_EURONICS,Notebook
Dell Inspiron 15,24,8,GROUP_EURONICS,Notebook
MacBook Air 13,31,2,GROUP_EURONICS,Notebook
MSI Modern 14,38,5,GROUP_EURONICS,Notebook
Huawei MateBook D,45,8,GROUP_EURONICS,Notebook
Samsung Galaxy Book,6,2,GROUP_EURONICS,Notebook
Chromebook Plus,13,5,GROUP_EURONICS,Notebook
Borsa notebook 15,20,8,GROUP_EURONICS,Notebook
Alimentatore USB-C 65W,27,2,GROUP_EURONICS,Notebook
HP Desktop i5,34,5,GROUP_EURONICS,Desktop PC
Lenovo ThinkCentre,41,8,GROUP_EURONICS,Desktop PC
Asus Mini PC,48,2,GROUP_EURONICS,Desktop PC
Acer Veriton,9,5,GROUP_EURONICS,Desktop PC
Dell OptiPlex,16,8,GROUP_EURONICS,Desktop PC
MSI Cubi,23,2,GROUP_EURONICS,Desktop PC
Apple Mac Mini,30,5,GROUP_EURONICS,Desktop PC
PC Gaming RTX4060,37,8,GROUP_EURONICS,Desktop PC
Workstation base,44,2,GROUP_EURONICS,Desktop PC
All in One 24,5,5,GROUP_EURONICS,Desktop PC
Tastiera desktop,12,8,GROUP_EURONICS,Desktop PC
Mouse desktop,19,2,GROUP_EURONICS,Desktop PC
Monitor 24 FHD,26,5,GROUP_EURONICS,Monitor
Monitor 27 QHD,33,8,GROUP_EURONICS,Monitor
Monitor 32 4K,40,2,GROUP_EURONICS,Monitor
Monitor gaming 144Hz,47,5,GROUP_EURONICS,Monitor
Monitor curvo 27,8,8,GROUP_EURONICS,Monitor
Monitor USB-C,15,2,GROUP_EURONICS,Monitor
Monitor IPS 24,22,5,GROUP_EURONICS,Monitor
Monitor OLED 27,29,8,GROUP_EURONICS,Monitor
Supporto monitor,36,2,GROUP_EURONICS,Monitor
Cavo HDMI 2m,43,5,GROUP_EURONICS,Monitor
Cavo DisplayPort,50,8,GROUP_EURONICS,Monitor
Braccio monitor,11,2,GROUP_EURONICS,Monitor
TV LED 32,18,5,GROUP_EURONICS,Televisori
TV QLED 43,25,8,GROUP_EURONICS,Televisori
TV OLED 55,32,2,GROUP_EURONICS,Televisori
TV MiniLED 65,39,5,GROUP_EURONICS,Televisori
TV 75 4K,46,8,GROUP_EURONICS,Televisori
Smart TV 50,7,2,GROUP_EURONICS,Televisori
TV cucina 24,14,5,GROUP_EURONICS,Televisori
Soundbar TV bundle,21,8,GROUP_EURONICS,Televisori
Staffa TV muro,28,2,GROUP_EURONICS,Televisori
Telecomando universale,35,5,GROUP_EURONICS,Televisori
Cavo antenna TV,42,8,GROUP_EURONICS,Televisori
Decoder digitale,49,2,GROUP_EURONICS,Televisori
Cuffie Bluetooth,10,5,GROUP_EURONICS,Audio
Cuffie gaming,17,8,GROUP_EURONICS,Audio
Auricolari true wireless,24,2,GROUP_EURONICS,Audio
Speaker portatile,31,5,GROUP_EURONICS,Audio
Soundbar 2.1,38,8,GROUP_EURONICS,Audio
Giradischi Bluetooth,45,2,GROUP_EURONICS,Audio
Microfono USB,6,5,GROUP_EURONICS,Audio
Radio DAB,13,8,GROUP_EURONICS,Audio
Amplificatore stereo,20,2,GROUP_EURONICS,Audio
Cavo audio jack,27,5,GROUP_EURONICS,Audio
Supporto cuffie,34,8,GROUP_EURONICS,Audio
Subwoofer compatto,41,2,GROUP_EURONICS,Audio
Fotocamera mirrorless,48,5,GROUP_EURONICS,Foto Video
Fotocamera compatta,9,8,GROUP_EURONICS,Foto Video
Action cam 4K,16,2,GROUP_EURONICS,Foto Video
Drone mini,23,5,GROUP_EURONICS,Foto Video
Treppiede alluminio,30,8,GROUP_EURONICS,Foto Video
Scheda SD 128GB,37,2,GROUP_EURONICS,Foto Video
Obiettivo 50mm,44,5,GROUP_EURONICS,Foto Video
Borsa fotografica,5,8,GROUP_EURONICS,Foto Video
Gimbal smartphone,12,2,GROUP_EURONICS,Foto Video
Webcam Full HD,19,5,GROUP_EURONICS,Foto Video
Luce LED ring,26,8,GROUP_EURONICS,Foto Video
Micro SD 256GB,33,2,GROUP_EURONICS,Foto Video
PlayStation 5,40,5,GROUP_EURONICS,Console Gaming
Xbox Series X,47,8,GROUP_EURONICS,Console Gaming
Nintendo Switch OLED,8,2,GROUP_EURONICS,Console Gaming
Controller PS5,15,5,GROUP_EURONICS,Console Gaming
Controller Xbox,22,8,GROUP_EURONICS,Console Gaming
Joy-Con set,29,2,GROUP_EURONICS,Console Gaming
Cuffie gaming console,36,5,GROUP_EURONICS,Console Gaming
Base ricarica controller,43,8,GROUP_EURONICS,Console Gaming
Gioco sportivo,50,2,GROUP_EURONICS,Console Gaming
Gioco avventura,11,5,GROUP_EURONICS,Console Gaming
Volante gaming,18,8,GROUP_EURONICS,Console Gaming
Abbonamento game card,25,2,GROUP_EURONICS,Console Gaming
Frullatore 800W,32,5,GROUP_EURONICS,Piccoli Elettrodomestici
Tostapane acciaio,39,8,GROUP_EURONICS,Piccoli Elettrodomestici
Macchina caffe capsule,46,2,GROUP_EURONICS,Piccoli Elettrodomestici
Bollitore elettrico,7,5,GROUP_EURONICS,Piccoli Elettrodomestici
Robot cucina,14,8,GROUP_EURONICS,Piccoli Elettrodomestici
Sbattitore elettrico,21,2,GROUP_EURONICS,Piccoli Elettrodomestici
Bilancia cucina,28,5,GROUP_EURONICS,Piccoli Elettrodomestici
Spremiagrumi,35,8,GROUP_EURONICS,Piccoli Elettrodomestici
Piastra panini,42,2,GROUP_EURONICS,Piccoli Elettrodomestici
Ferro da stiro,49,5,GROUP_EURONICS,Piccoli Elettrodomestici
Aspirabriciole,10,8,GROUP_EURONICS,Piccoli Elettrodomestici
Umidificatore,17,2,GROUP_EURONICS,Piccoli Elettrodomestici
Lavatrice 8kg,24,5,GROUP_EURONICS,Grandi Elettrodomestici
Asciugatrice 9kg,31,8,GROUP_EURONICS,Grandi Elettrodomestici
Frigorifero combinato,38,2,GROUP_EURONICS,Grandi Elettrodomestici
Congelatore verticale,45,5,GROUP_EURONICS,Grandi Elettrodomestici
Lavastoviglie 14 coperti,6,8,GROUP_EURONICS,Grandi Elettrodomestici
Forno incasso,13,2,GROUP_EURONICS,Grandi Elettrodomestici
Piano induzione,20,5,GROUP_EURONICS,Grandi Elettrodomestici
Cappa cucina,27,8,GROUP_EURONICS,Grandi Elettrodomestici
Microonde incasso,34,2,GROUP_EURONICS,Grandi Elettrodomestici
Cantinetta vino,41,5,GROUP_EURONICS,Grandi Elettrodomestici
Lavasciuga 10kg,48,8,GROUP_EURONICS,Grandi Elettrodomestici
Frigorifero americano,9,2,GROUP_EURONICS,Grandi Elettrodomestici
Condizionatore 9000 BTU,16,5,GROUP_EURONICS,Climatizzazione
Condizionatore 12000 BTU,23,8,GROUP_EURONICS,Climatizzazione
Ventilatore piantana,30,2,GROUP_EURONICS,Climatizzazione
Ventilatore tavolo,37,5,GROUP_EURONICS,Climatizzazione
Deumidificatore 20L,44,8,GROUP_EURONICS,Climatizzazione
Purificatore aria,5,2,GROUP_EURONICS,Climatizzazione
Stufa elettrica,12,5,GROUP_EURONICS,Climatizzazione
Termoventilatore,19,8,GROUP_EURONICS,Climatizzazione
Radiatore olio,26,2,GROUP_EURONICS,Climatizzazione
Cronotermostato smart,33,5,GROUP_EURONICS,Climatizzazione
Filtro purificatore,40,8,GROUP_EURONICS,Climatizzazione
Kit tubo scarico,47,2,GROUP_EURONICS,Climatizzazione
Lampadina smart E27,8,5,GROUP_EURONICS,Casa Smart
Presa smart WiFi,15,8,GROUP_EURONICS,Casa Smart
Videocamera interna,22,2,GROUP_EURONICS,Casa Smart
Videocamera esterna,29,5,GROUP_EURONICS,Casa Smart
Campanello smart,36,8,GROUP_EURONICS,Casa Smart
Sensore movimento,43,2,GROUP_EURONICS,Casa Smart
Hub domotico,50,5,GROUP_EURONICS,Casa Smart
Termostato smart,11,8,GROUP_EURONICS,Casa Smart
Striscia LED smart,18,2,GROUP_EURONICS,Casa Smart
Interruttore smart,25,5,GROUP_EURONICS,Casa Smart
Assistente vocale,32,8,GROUP_EURONICS,Casa Smart
Kit antifurto base,39,2,GROUP_EURONICS,Casa Smart
Mouse wireless,46,5,GROUP_EURONICS,Accessori Informatica
Tastiera meccanica,7,8,GROUP_EURONICS,Accessori Informatica
Hub USB-C,14,2,GROUP_EURONICS,Accessori Informatica
SSD esterno 1TB,21,5,GROUP_EURONICS,Accessori Informatica
Hard disk 2TB,28,8,GROUP_EURONICS,Accessori Informatica
Router WiFi 6,35,2,GROUP_EURONICS,Accessori Informatica
Repeater mesh,42,5,GROUP_EURONICS,Accessori Informatica
Cavo USB-C,49,8,GROUP_EURONICS,Accessori Informatica
Adattatore HDMI,10,2,GROUP_EURONICS,Accessori Informatica
Docking station,17,5,GROUP_EURONICS,Accessori Informatica
Chiavetta USB 128GB,24,8,GROUP_EURONICS,Accessori Informatica
Pad mouse XL,31,2,GROUP_EURONICS,Accessori Informatica
Rasoio elettrico,38,5,GROUP_EURONICS,Cura Persona
Spazzolino elettrico,45,8,GROUP_EURONICS,Cura Persona
Asciugacapelli,6,2,GROUP_EURONICS,Cura Persona
Piastra capelli,13,5,GROUP_EURONICS,Cura Persona
Regolabarba,20,8,GROUP_EURONICS,Cura Persona
Bilancia pesapersone,27,2,GROUP_EURONICS,Cura Persona
Epilatore,34,5,GROUP_EURONICS,Cura Persona
Massaggiatore cervicale,41,8,GROUP_EURONICS,Cura Persona
Termometro digitale,48,2,GROUP_EURONICS,Cura Persona
Idropulsore,9,5,GROUP_EURONICS,Cura Persona
Ricambio spazzolino,16,8,GROUP_EURONICS,Cura Persona
Tagliacapelli,23,2,GROUP_EURONICS,Cura Persona
Caricatore rapido 30W,30,5,GROUP_EURONICS,Telefonia Accessori
Power bank 10000,37,8,GROUP_EURONICS,Telefonia Accessori
Power bank 20000,44,2,GROUP_EURONICS,Telefonia Accessori
Cavo Lightning,5,5,GROUP_EURONICS,Telefonia Accessori
Cavo USB-C 2m,12,8,GROUP_EURONICS,Telefonia Accessori
Supporto auto telefono,19,2,GROUP_EURONICS,Telefonia Accessori
Pellicola vetro iPhone,26,5,GROUP_EURONICS,Telefonia Accessori
Pellicola vetro Samsung,33,8,GROUP_EURONICS,Telefonia Accessori
Caricatore auto,40,2,GROUP_EURONICS,Telefonia Accessori
Custodia MagSafe,47,5,GROUP_EURONICS,Telefonia Accessori
Adattatore SIM,8,8,GROUP_EURONICS,Telefonia Accessori
Base wireless charging,15,2,GROUP_EURONICS,Telefonia Accessori
Router fibra,22,5,GROUP_EURONICS,Networking
Switch 8 porte,29,8,GROUP_EURONICS,Networking
Switch 16 porte,36,2,GROUP_EURONICS,Networking
Access point WiFi,43,5,GROUP_EURONICS,Networking
Cavo ethernet 5m,50,8,GROUP_EURONICS,Networking
Cavo ethernet 10m,11,2,GROUP_EURONICS,Networking
Powerline kit,18,5,GROUP_EURONICS,Networking
Modem 4G,25,8,GROUP_EURONICS,Networking
Antenna WiFi,32,2,GROUP_EURONICS,Networking
Patch panel,39,5,GROUP_EURONICS,Networking
UPS router,46,8,GROUP_EURONICS,Networking
Firewall home,7,2,GROUP_EURONICS,Networking
Stampante laser,14,5,GROUP_EURONICS,Ufficio
Stampante inkjet,21,8,GROUP_EURONICS,Ufficio
Multifunzione WiFi,28,2,GROUP_EURONICS,Ufficio
Toner nero,35,5,GROUP_EURONICS,Ufficio
Cartuccia colore,42,8,GROUP_EURONICS,Ufficio
Carta A4 500 fogli,49,2,GROUP_EURONICS,Ufficio
Distruggidocumenti,10,5,GROUP_EURONICS,Ufficio
Calcolatrice desktop,17,8,GROUP_EURONICS,Ufficio
Scanner documenti,24,2,GROUP_EURONICS,Ufficio
Etichettatrice,31,5,GROUP_EURONICS,Ufficio
Plastificatrice,38,8,GROUP_EURONICS,Ufficio
Risma fotografica,45,2,GROUP_EURONICS,Ufficio
Dash cam Full HD,6,5,GROUP_EURONICS,Auto Tech
Navigatore GPS,13,8,GROUP_EURONICS,Auto Tech
Caricatore auto USB-C,20,2,GROUP_EURONICS,Auto Tech
Supporto tablet auto,27,5,GROUP_EURONICS,Auto Tech
Aspirapolvere auto,34,8,GROUP_EURONICS,Auto Tech
Avviatore emergenza,41,2,GROUP_EURONICS,Auto Tech
Sensori parcheggio,48,5,GROUP_EURONICS,Auto Tech
Compressore portatile,9,8,GROUP_EURONICS,Auto Tech
Trasmettitore FM,16,2,GROUP_EURONICS,Auto Tech
Telecamera retromarcia,23,5,GROUP_EURONICS,Auto Tech
Cavo ricarica auto,30,8,GROUP_EURONICS,Auto Tech
Tester batteria,37,2,GROUP_EURONICS,Auto Tech
iPhone ricondizionato,44,5,GROUP_EURONICS,Ricondizionati
Notebook ricondizionato,5,8,GROUP_EURONICS,Ricondizionati
Tablet ricondizionato,12,2,GROUP_EURONICS,Ricondizionati
Monitor ricondizionato,19,5,GROUP_EURONICS,Ricondizionati
Console ricondizionata,26,8,GROUP_EURONICS,Ricondizionati
Smartwatch ricondizionato,33,2,GROUP_EURONICS,Ricondizionati
Desktop ricondizionato,40,5,GROUP_EURONICS,Ricondizionati
MacBook ricondizionato,47,8,GROUP_EURONICS,Ricondizionati
Auricolari ricondizionati,8,2,GROUP_EURONICS,Ricondizionati
Router ricondizionato,15,5,GROUP_EURONICS,Ricondizionati
Fotocamera ricondizionata,22,8,GROUP_EURONICS,Ricondizionati
Telefono base ricondizionato,29,2,GROUP_EURONICS,Ricondizionati
Farina 00 sacco 25kg,18,6,GROUP_PANIFICIO,Materie prime
Farina manitoba sacco 25kg,10,4,GROUP_PANIFICIO,Materie prime
Farina integrale sacco 25kg,7,3,GROUP_PANIFICIO,Materie prime
Semola rimacinata sacco 25kg,5,2,GROUP_PANIFICIO,Materie prime
Lievito fresco panetti,60,20,GROUP_PANIFICIO,Lieviti
Lievito madre rinfresco,8,2,GROUP_PANIFICIO,Lieviti
Sale fino sacco 10kg,9,3,GROUP_PANIFICIO,Materie prime
Zucchero sacco 10kg,6,2,GROUP_PANIFICIO,Materie prime
Olio extravergine lattina 5L,5,2,GROUP_PANIFICIO,Condimenti
Burro panetto 1kg,12,4,GROUP_PANIFICIO,Latticini
Latte intero 1L,24,8,GROUP_PANIFICIO,Latticini
Uova confezione 30,10,3,GROUP_PANIFICIO,Freschi
Gocce cioccolato 5kg,4,2,GROUP_PANIFICIO,Pasticceria
Marmellata albicocca secchio,3,1,GROUP_PANIFICIO,Pasticceria
Crema nocciola secchio,3,1,GROUP_PANIFICIO,Pasticceria
Sesamo sacco 5kg,4,1,GROUP_PANIFICIO,Semi
Sacchetti carta pane,500,150,GROUP_PANIFICIO,Confezionamento
Vassoi cartone dolci,120,40,GROUP_PANIFICIO,Confezionamento
Guanti monouso,200,80,GROUP_PANIFICIO,Igiene
Detergente superfici alimentari,8,3,GROUP_PANIFICIO,Pulizia
