LATTE INTERO,12,5,GROUP_admin,ALIMENTARI
PANE BAULETTO,0,3,GROUP_admin,ALIMENTARI
PASTA BARILLA,4,10,GROUP_admin,ALIMENTARI
OLIO D'OLIVA,0,2,GROUP_admin,ALIMENTARI
SAPONE MANI,1,4,GROUP_admin,IGIENE
CARTA IGIENICA,2,6,GROUP_admin,IGIENE
PENNE A SFERA,5,20,GROUP_admin,CANCELLERIA
RISO CARNAROLI,2,5,GROUP_admin,ALIMENTARI
SALE FINO,10,2,GROUP_admin,ALIMENTARI
ZUCCHERO,5,5,GROUP_admin,ALIMENTARI
CAFFÈ IN GRANI,8,3,GROUP_admin,ALIMENTARI
FARINA 00,12,10,GROUP_admin,ALIMENTARI
DETERSIVO PIATTI,3,2,GROUP_admin,PULIZIA
SPUGNE CUCINA,10,5,GROUP_admin,PULIZIA
QUADERNI A4,15,10,GROUP_admin,CANCELLERIA
GRAFFETTE,100,50,GROUP_admin,CANCELLERIA
LAMPADINE LED,6,4,GROUP_admin,MANUTENZIONE
PILE AA,20,10,GROUP_admin,ELETTRONICA
TONNO IN SCATOLA,15,10,GROUP_admin,ALIMENTARI
ACQUA NATURALE,24,12,GROUP_admin,ALIMENTARISALMONE,5,0,GROUP_admin,ALIMENTARI
IPHONE 18,5,20,GROUP_admin,ELETTRONICA
